Scheme Name,Scheme Code
quant ELSS Tax Saver Fund - IDCW Option - Direct Plan,120846
quant ELSS Tax Saver Fund - Growth Option - Direct Plan,120847
ICICI Prudential Smallcap Fund - Direct Plan - IDCW,120870
SBI BSE SENSEX ETF,121109
ICICI Prudential Interval Fund - Series VI - Annual Interval Plan - A - Direct Plan - Dividend,121126
ICICI Prudential Interval Fund - Series VI - Annual Interval Plan - A - Direct Plan - Cumulative,121127
ICICI Prudential Interval Fund - Series VI - Annual Interval Plan - A - Cumulative,121129
Nippon India ETF Nifty 100,121146
Bandhan Banking and PSU Fund - Direct Growth,121279
Bandhan Banking and PSU Fund - Regular Growth,121280
Bandhan Banking and PSU Fund - Direct IDCW,121281
Bandhan Banking and PSU Fund - Regular IDCW,121282
ICICI Prudential Interval Fund - Series VI - Annual Interval Plan - C - Direct Plan - Cumulative,121362
ICICI Prudential Interval Fund - Series VI - Annual Interval Plan - C - Cumulative,121364
ICICI Prudential Nifty 50 ETF,121366
ICICI Prudential Interval Fund - Series VI - Annual Interval Plan - D - Direct Plan - Cumulative,121440
ICICI Prudential Interval Fund - Series VI - Annual Interval Plan - D - Cumulative,121441
ICICI Prudential Interval Fund - Series VI - Annual Interval Plan - D - Direct Plan - Dividend,121442
Reliance Yearly Interval Fund - Series 5 - Growth Plan - Growth Option,121699
Reliance Yearly Interval Fund - Series 5 - Direct Plan - Growth Plan - Growth Option,121701
UTI Ultra Short Duration Fund - Regular Plan - Flexi IDCW,121891
UTI Ultra Short Duration Fund - Direct Plan - Flexi IDCW,121892
Bandhan Banking and PSU Fund - Regular Fortnightly IDCW,121931
Bandhan Banking and PSU Fund - Regular Monthly IDCW,121932
Bandhan Banking and PSU Fund - Regular Annual IDCW,121933
Bandhan Banking and PSU Fund - Direct Fortnightly IDCW,121934
Bandhan Banking and PSU Fund - Direct Monthly IDCW,121935
Bandhan Banking and PSU Fund - Direct Annual IDCW,121936
Bandhan Banking and PSU Fund - Regular Quarterly IDCW,121937
Bandhan Banking and PSU Fund - Direct Quarterly IDCW,121938
SBI Medium to Long Duration Fund - Direct Plan - Quarterly Income Distribution cum Capital Withdrawal Option (IDCW),121940
SBI Medium to Long Duration Fund - Regular Plan - Quarterly Income Distribution cum Capital Withdrawal Option (IDCW),121944
ICICI Prudential Balanced Advantage Fund - Monthly IDCW,122168
ICICI Prudential Balanced Advantage Fund - Direct Plan - Monthly IDCW,122236
PGIM India Dynamic Bond Fund-Bonus Option,122260
JM Dynamic Bond Fund - (Direct) - Bonus Option-Principal Units,122315
JM Ultra Short Duration Fund (Direct) - Bonus Option - Principal Units,122316
JM Ultra Short Duration Fund - Bonus Option - Principal Units,122317
JM Dynamic Bond Fund (Regular) - Bonus Option - Principal Units,122323
Motilal Oswal Focused Fund - Regular Plan Growth Option,122387
Motilal Oswal Focused Fund Regular - IDCW Payout/Reinvestment,122388
Motilal Oswal Focused Fund - Direct Plan Growth Option,122389
Motilal Oswal Focused Fund Direct - IDCW Payout/Reinvestment,122390
Franklin India Money Market Fund Retail Option - Daily - IDCW,122443
Franklin India Money Market Fund Retail Option - Direct - Daily - IDCW,122444
ICICI Prudential Savings Fund - Monthly IDCW,122531
ICICI Prudential Floating Interest Fund - Monthly IDCW,122606
ICICI Prudential Floating Interest Fund - Direct Plan - Monthly IDCW,122607
360 ONE Dynamic Bond Fund - Regular Plan - Growth Option,122612
ICICI Prudential Dynamic Bond Fund - Bonus,122613
BANDHAN Dynamic Bond Fund-Direct Plan-Half Yearly IDCW,122618
Parag Parikh Flexi Cap Fund - Direct Plan - Growth,122639
Parag Parikh Flexi Cap Fund - Regular Plan - Growth,122640
Aditya Birla Sun Life Floating Rate Fund-Regular - DAILY IDCW,122643
Aditya Birla Sun Life Floating Rate Fund-Regular Plan-Growth,122644
Aditya Birla Sun Life Floating Rate Fund-Direct - daily IDCW,122645
Aditya Birla Sun Life Floating Rate Fund-Direct Plan-Growth,122646
Aditya Birla Sun Life Floating Rate Fund-REGULAR - WEEKLY IDCW,122647
Aditya Birla Sun Life Floating Rate Fund-Direct - weekly IDCW,122648
Aditya Birla Sun Life Floating Rate Fund-RETAIL - WEEKLY IDCW,122649
Aditya Birla Sun Life Floating Rate Fund-Retail Plan-Growth,122650
ICICI Prudential Savings Fund - Direct Plan - Monthly IDCW,122651
Reliance Yearly Interval Fund - Series 8 - Growth Plan - Growth Option,122652
Reliance Yearly Interval Fund - Series 8 - Direct Plan - Growth Plan - Growth Option,122653
Reliance Yearly Interval Fund - Series 8 - Direct Plan - Dividend Plan - Dividend Option,122654
Reliance Yearly Interval Fund - Series 8 - Dividend Plan - Dividend Option,122655
ICICI Prudential Long Term Bond Fund - Bonus,122673
ICICI Prudential Short Term Fund - Bonus,122674
360 ONE Dynamic Bond Fund Regular Plan Bonus,122711
360 ONE Dynamic Bond Fund Regular Plan Quarterly Dividend,122712
360 ONE Dynamic Bond Fund Direct Plan Growth,122715
360 ONE Dynamic Bond Fund Direct Plan Quarterly Dividend,122717
360 ONE Dynamic Bond Fund Regular Plan Monthly Dividend,122719
360 ONE Dynamic Bond Fund Regular Plan Half Yearly Dividend,122720
360 ONE Dynamic Bond Fund Direct Plan Monthly Dividend,122721
Reliance Yearly Interval Fund - Series 9 - Direct Plan - Growth Plan - Growth Option,122726
Reliance Yearly Interval Fund - Series 9 - Dividend Plan - Dividend Option,122727
Reliance Yearly Interval Fund - Series 9 - Growth Plan - Growth Option,122729
ICICI Prudential Savings Fund - Fortnightly IDCW,122748
NIPPON INDIA AGGRESSIVE HYBRID FUND - QUARTERLY IDCW Option,122765
NIPPON INDIA AGGRESSIVE HYBRID FUND - DIRECT Plan - QUARTERLY IDCW Option,122766
BANDHAN Dynamic Bond Fund - Regular Plan B - Half Yearly IDCW,122868
ICICI Prudential Floating Interest Fund - Quarterly IDCW,122891
ICICI Prudential Savings Fund - Direct Plan - Fortnightly IDCW,122904
ICICI Prudential Short Term Fund - Direct Plan - Bonus,122909
ICICI Prudential Savings Fund - Direct Plan - Quarterly IDCW,122982
ICICI Prudential Savings Fund - Quarterly IDCW,122995
ICICI Prudential Nifty 100 ETF,123004
ICICI Prudential Interval Fund II Quarterly Interval Plan F - Direct Plan -  Quarterly Dividend Payout,123055
ICICI Prudential Regular Savings Fund - Direct Plan - Bonus,123183
DSP Savings Fund - Regular Plan - IDCW - Daily,123287
DSP Savings Fund - Direct Plan -  IDCW - Daily,123288
ICICI Prudential Blended Plan B - Direct Plan - Quarterly Dividend Option - I,123542
ICICI Prudential Interval Fund II - Quarterly Interval Plan A - Direct Plan - Quarterly Dividend Payout,123597
ICICI Prudential Interval Fund II Quarterly Interval Plan A -  Quarterly Dividend Payout,123645
ICICI Prudential Global Stable Equity Fund (FOF) - Growth,123651
ICICI Prudential Global Stable Equity Fund (FOF) - Direct - IDCW,123652
ICICI Prudential Global Stable Equity Fund (FOF) - IDCW,123653
ICICI Prudential Global Stable Equity Fund (FOF) - Direct - Growth,123654
Kotak Banking and PSU Debt Direct - Annual Dividend,123689
Kotak Banking and PSU Debt - Growth,123690
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,123691
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,123692
Kotak Banking and PSU Debt Direct - Growth,123693
Groww Short Term Fund (formerly known as Indiabulls Short Term Fund) - Direct Plan - Growth Option,123704
Groww Short Term Fund (formerly known as Indiabulls Short Term Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),123705
Groww Short Term Fund (formerly known as Indiabulls Short Term Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),123706
Groww Short Term Fund (formerly known as Indiabulls Short Term Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),123707
Groww Short Term Fund (formerly known as Indiabulls Short Term Fund )- Regular Plan - Growth Option,123708
Groww Short Term Fund (formerly known as Indiabulls Short Term Fund)- Regular Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),123709
Groww Short Term Fund (formerly known as Indiabulls Short Term Fund)- Regular Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),123710
Groww Short Term Fund (formerly known as Indiabulls Short Term Fund)- Regular Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),123711
DSP Banking & PSU Debt Fund - Regular Plan - Growth,124172
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,124173
DSP Banking & PSU Debt Fund - Regular Plan - IDCW,124174
DSP Banking & PSU Debt Fund - Direct Plan - Growth,124175
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,124176
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly,124177
DSP Banking & PSU Debt Fund - Direct Plan - IDCW,124178
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,124179
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,124180
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly,124181
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,124182
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,124183
ICICI Prudential Interval Fund Quarterly Interval Plan 1 Plan - Direct Plan - Quarterly Dividend Payout,124214
Motilal Oswal Ultra Short Term Fund (MOFUSTF)-Regular Plan- Growth,124233
Motilal Oswal Ultra Short Term Fund (MOFUSTF) -Direct Plan- Growth,124234
UTI Overnight Fund - Regular Plan - Daily IDCW,124265
UTI Overnight Fund - Direct Plan - Daily IDCW,124266
Motilal Oswal Ultra Short Term Fund Regular - IDCW Daily Reinvestment,124303
Motilal Oswal Ultra Short Term Fund Regular - IDCW Quarterly Payout/Reinvestment,124305
Motilal Oswal Ultra Short Term Fund Direct - IDCW Weekly Reinvestment,124306
Motilal Oswal Ultra Short Term Fund Direct Plan - IDCW Monthly Payout/Reinvestment,124308
Motilal Oswal Ultra Short Term Fund Regular - IDCW Weekly Reinvestment,124310
Motilal Oswal Ultra Short Term Fund Direct - IDCW Fortnightly Reinvestment,124311
Motilal Oswal Ultra Short Term Fund Direct - IDCW Quarterly Payout/Reinvestment,124312
Motilal Oswal Ultra Short Term Fund Regular - IDCW Fortnightly Reinvestment,124313
Motilal Oswal Ultra Short Term Fund Regular - IDCW Monthly Payout/Reinvestment,124315
Motilal Oswal Ultra Short Term Fund Direct - IDCW Daily Reinvestment,124316
NIPPON INDIA FLOATER FUND - IDCW Option,124589
NIPPON INDIA FLOATER FUND - DIRECT Plan - IDCW Option,124590
Reliance Interval Fund - II - Series 1 -Growth Plan,124678
Reliance Interval Fund - II - Series 1 -Direct Plan -Growth Option,124679
Reliance Interval Fund - II - Series 1 -Dividend Option,124681
Reliance Interval Fund - II - Series 2 - Growth Plan - Growth Option,124748
Reliance Interval Fund - II - Series 2 - Direct Plan - Growth Plan - Growth Option,124749
Reliance Interval Fund - II - Series 2 - Dividend Plan - Dividend Option,124750
Reliance Interval Fund - II - Series 2 - Direct Plan - Dividend Plan - Dividend Option,124751
Reliance Interval Fund - II - Series 3 - Growth Plan - Growth Option,124752
Reliance Interval Fund - II - Series 3 - Direct Plan - Growth Plan - Growth Option,124753
Reliance Interval Fund - II - Series 3 - Dividend Plan - Dividend Option,124754
Reliance Interval Fund - II - Series 3 - Direct Plan - Dividend Plan - Dividend Option,124755
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW,124832
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW,124833
Reliance Interval Fund - II - Series 4-Growth Plan-Growth Option,124874
Reliance Interval Fund - II - Series 4-Direct Plan-Growth Plan -Growth Option,124876
Reliance Interval Fund - II - Series 4-Dividend Plan -Dividend Option,124877
UTI Short Duration Fund - Direct Plan - Flexi IDCW,124962
UTI Short Duration Fund - Regular Plan - Flexi IDCW,125045
ICICI Prudential Floating Interest Fund - Direct Plan - Quarterly IDCW,125216
360 ONE LIQUID FUND REGULAR PLAN  GROWTH,125259
NIPPON INDIA LOW DURATION FUND - DIRECT Plan - IDCW Option,125264
NIPPON INDIA LOW DURATION FUND - IDCW Option,125265
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - IDCW Option,125266
NIPPON INDIA CORPORATE BOND FUND - IDCW Option,125267
NIPPON INDIA SHORT DURATION FUND - IDCW Option,125268
NIPPON INDIA SHORT DURATION FUND - Direct Plan - IDCW Option,125269
PGIM India Midcap Fund - Direct Plan - Dividend Option - Payout,125301
PGIM India Midcap Fund - Regular Plan - Growth Option,125305
PGIM India Midcap Fund - Regular Plan - Dividend Option - Payout,125306
PGIM India Midcap Fund - Direct Plan - Growth Option,125307
360 ONE LIQUID FUND REGULAR PLAN  WEEKLY DIVIDEND,125337
360 ONE LIQUID FUND REGULAR PLAN  DAILY DIVIDEND REINVESTMENT,125342
360 ONE LIQUID FUND DIRECT PLAN  WEEKLY DIVIDEND,125343
360 ONE LIQUID FUND DIRECT PLAN  GROWTH,125345
360 ONE LIQUID FUND DIRECT PLAN  DAILY DIVIDEND REINVESTMENT,125349
Axis Small Cap Fund - Regular Plan - Growth,125350
Axis Small Cap Fund - Direct Plan - IDCW,125351
Axis Small Cap Fund - Regular Plan - IDCW,125352
Axis Small Cap Fund - Direct Plan - Growth,125354
SBI Small Cap Fund - Regular Plan - Growth,125494
SBI Small Cap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),125495
SBI Small Cap Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),125496
SBI Small Cap Fund - Direct Plan - Growth,125497
SBI BANKING & PSU FUND - Regular Paln - Growth,125498
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),125499
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),125500
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),125501
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),125502
SBI BANKING & PSU FUND - Direct Plan - Growth,125503
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),125504
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),125505
Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,125595
Aditya Birla Sun Life Banking and Financial Services Fund - REGULAR - IDCW,125596
Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,125597
Aditya Birla Sun Life Banking and Financial Services Fund - DIRECT - IDCW,125598
Shriram Aggressive Hybrid Fund- Direct Growth,125711
Shriram Aggressive Hybrid Fund- Direct- IDCW,125712
Shriram Aggressive Hybrid Fund- Regular Growth,125713
Shriram Aggressive Hybrid Fund- Regular-IDCW,125714
Invesco India - Invesco Pan European Equity Fund of Fund - Regular Plan - IDCW (Payout / Reinvestment),126350
Invesco India - Invesco Pan European Equity Fund of Fund - Regular Plan - Growth Option,126351
Invesco India - Invesco Pan European Equity Fund of Fund - Direct Plan - IDCW (Payout / Reinvestment),126352
Invesco India - Invesco Pan European Equity Fund of Fund - Direct Plan - Growth Option,126353
BANK OF INDIA Ultra Short Duration Fund- Direct Plan-Bonus,126389
DSP Dynamic Asset Allocation Fund - Direct Plan - IDCW - Monthly,126391
DSP Dynamic Asset Allocation Fund - Regular Plan - IDCW - Monthly,126392
DSP Dynamic Asset Allocation Fund - Direct Plan - Growth,126393
DSP Dynamic Asset Allocation Fund - Regular Plan - Growth,126394
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION,126685
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),126686
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION,126687
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),126688
UTI Banking & PSU Fund- Regular Plan - Growth Option,126939
UTI Banking & PSU Fund - Direct Plan - Growth Option,126940
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW,126941
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW,126942
Motilal Oswal Midcap Fund-Regular Plan-Growth Option,127039
Motilal Oswal Midcap Fund-Regular - IDCW Payout/Reinvestment,127040
Motilal Oswal Midcap Fund-Direct Plan-Growth Option,127042
Motilal Oswal Midcap Fund-Direct - IDCW Payout/Reinvestment,127044
HSBC Asia Pacific IDCW Yield Fund IDCW,127070
HSBC Asia Pacific (Ex Japan) Dividend Yield Fund - Growth Direct,127071
HSBC Asia Pacific IDCW Yield Fund Direct Plan IDCW,127072
HSBC Asia Pacific (Ex Japan) Dividend Yield Fund - Growth,127073
ICICI Prudential Interval Fund - Series VII - Annual Interval Plan - C - Dividend,127235
ICICI Prudential Interval Fund - Series VII - Annual Interval Plan - C - Direct Plan - Cumulative,127236
ICICI Prudential Interval Fund - Series VII - Annual Interval Plan - C - Cumulative,127238
ICICI Prudential Interval Fund - Quarterly Interval Plan III - Direct Quarterly Dividend Payout,127399
Bandhan Banking and PSU Fund - Regular Daily IDCW,127470
Bandhan Banking and PSU Fund - Direct Daily IDCW,127471
BANK OF INDIA BALANCED ADVANTAGE FUND REGULAR PLAN  GROWTH,127849
BANK OF INDIA BALANCED ADVANTAGE FUND DIRECT PLAN  GROWTH,127850
BANK OF INDIA BALANCED ADVANTAGE FUND  REGULAR PLAN IDCW,127851
BANK OF INDIA BALANCED ADVANTAGE FUND  DIRECT PLAN IDCW,127852
Kotak Medium Term Fund - Direct Growth,128006
Kotak Medium Term Fund - Growth,128009
HDFC Credit Risk Debt Fund - Quarterly IDCW - Direct Plan,128050
HDFC Credit Risk Debt Fund - Growth Option - Direct Plan,128051
HDFC Credit Risk Debt Fund - Quarterly IDCW Option,128052
HDFC Credit Risk Debt Fund - Growth Option,128053
Kotak Medium Term Fund - Standard Income Distribution cum capital withdrawal option,128078
Kotak Medium Term Fund - Direct - Standard Income Distribution cum capital withdrawal option,128079
ICICI Prudential Regular Savings Fund - Plan - Bonus,128110
Nippon India ETF Nifty India Consumption,128331
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,128626
HDFC Banking and PSU Debt Fund - IDCW Option,128627
HDFC Banking and PSU Debt Fund - Growth Option,128628
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,128629
Nippon India ETF Nifty Dividend Opportunities 50,128639
NIPPON INDIA ARBITRAGE FUND - MONTHLY IDCW Option,128820
NIPPON INDIA ARBITRAGE FUND - DIRECT Plan - MONTHLY IDCW Option,128821
Axis Short Duration Fund - Regular Plan - Bonus Option,128950
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,128952
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,128953
Axis Liquid Fund - Direct plan - Bonus Option,128954
Axis Gilt Fund - Direct Plan - Bonus Option,128957
Axis Strategic Bond Fund - Regular Plan - Bonus Option,128958
Axis Treasury Advantage Fund - Direct Plan - Bonus Option,128961
Franklin India Banking & PSU Debt Fund - Growth,129006
Franklin India Banking and PSU Debt Fund - IDCW,129007
Franklin India Banking & PSU Debt Fund - Direct - Growth,129008
Franklin India Banking and PSU Debt Fund - Direct - IDCW,129009
Motilal Oswal Flexi cap Fund Direct Plan-Growth Option,129046
Motilal Oswal Flexi Cap Fund Direct - IDCW Payout/Reinvestment,129047
Motilal Oswal Flexi Cap Fund Regular Plan-Growth Option,129048
Motilal Oswal Flexi cap Fund Regular - IDCW Payout/Reinvestment,129049
HDFC ARBITRAGE FUND - Wholesale Monthly IDCW Option,129051
HDFC ARBITRAGE FUND - Wholesale Growth Option - Direct Plan,129052
HDFC ARBITRAGE FUND - Wholesale IDCW Option - Direct Plan,129053
HDFC ARBITRAGE FUND - Wholesale Monthly IDCW - Direct Plan,129054
HSBC Aggressive Hybrid Active FOF - Growth,129065
Invesco India - Invesco Global Equity Income Fund of Fund - Regular Plan - Growth,129187
Invesco India - Invesco Global Equity Income Fund of Fund - Direct Plan - Growth,129188
Invesco India - Invesco Global Equity Income Fund of Fund - Regular Plan - IDCW (Payout / Reinvestment),129189
Invesco India - Invesco Global Equity Income Fund of Fund - Direct Plan - IDCW (Payout / Reinvestment),129190
HSBC Multi Asset Active FOF - Growth,129191
HSBC Multi Asset Active FOF IDCW,129192
HSBC Multi Asset Active FOF - Growth Direct,129193
HSBC Multi Asset Active FOF Direct Plan IDCW,129194
HSBC Income Plus Arbitrage Active FOF - Growth,129195
HSBC Income Plus Arbitrage Active FOF IDCW,129196
HSBC Income Plus Arbitrage Active FOF - Growth Direct,129197
HSBC Income Plus Arbitrage Active FOF Direct Plan IDCW,129198
HSBC Aggressive Hybrid Active FOF - Dividend,129199
HSBC Aggressive Hybrid Active FOF - Growth Direct,129200
HSBC Aggressive Hybrid Active FOF - Dividend Direct,129201
Sundaram Infrastructure Advantage Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),129210
Sundaram Infrastructure Advantage Fund Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),129211
Sundaram Infrastructure Advantage Fund Direct Plan - Growth,129212
Sundaram Infrastructure Advantage Fund Regular Plan - Growth,129213
ICICI Prudential Dividend Yield Equity Fund Direct Plan IDCW Option,129309
ICICI Prudential Dividend Yield Equity Fund Growth Option,129310
ICICI Prudential Dividend Yield Equity Fund IDCW Option,129311
ICICI Prudential Dividend Yield Equity Fund Direct Plan Growth Option,129312
Franklin India Money Market Fund Retail Option - Monthly - IDCW,129436
Franklin India Money Market Fund Retail Option - Direct - Monthly - IDCW,129437
Union Small Cap Fund - Direct Plan - IDCW Option,129646
Union Small Cap Fund - Regular Plan - Growth Option,129647
Union Small Cap Fund - Regular Plan - IDCW Option,129648
Union Small Cap Fund - Direct Plan - Growth Option,129649
ICICI Prudential Money Market Fund Option - IDCW Others,130013
Nippon India Medium Duration Fund - Growth Option,130037
Nippon India Medium Duration Fund - Direct Plan - Growth Option,130050
Nippon India Medium Duration  Fund - Bonus Option,130051
Nippon India Medium Duration Fund - Direct Plan - Bonus Option,130052
NIPPON INDIA MEDIUM DURATION FUND - IDCW Option,130053
NIPPON INDIA MEDIUM DURATION FUND - DIRECT Plan - IDCW Option,130054
NIPPON INDIA MEDIUM DURATION FUND - DIRECT Plan - QUARTERLY IDCW Option,130055
NIPPON INDIA MEDIUM DURATION FUND - QUARTERLY IDCW Option,130056
Edelweiss Arbitrage Fund- Regular Plan- Growth Option,130205
Edelweiss Arbitrage Fund- Direct Plan- Growth Option,130206
Edelweiss Arbitrage Fund - Regular Plan - IDCW Option,130207
Edelweiss Arbitrage Fund- Regular Plan -Bonus Option,130208
Edelweiss Arbitrage Fund - Direct Plan - IDCW Option,130209
Axis Credit Risk Fund - Regular Plan - Growth,130309
Axis Credit Risk Fund - Regular Plan - Weekly IDCW,130310
Axis Credit Risk Fund - Direct Plan - Weekly IDCW,130311
Axis Credit Risk Fund - Direct Plan - Monthly IDCW,130312
Axis Credit Risk Fund - Regular Plan - Monthly IDCW,130313
Axis Credit Risk Fund - Direct Plan - Growth,130314
DSP Income Plus Arbitrage Omni FoF - Regular Plan - IDCW,130490
DSP Income Plus Arbitrage Omni FoF - Direct Plan - IDCW,130491
DSP Income Plus Arbitrage Omni FoF - Regular Plan - Growth,130492
DSP Income Plus Arbitrage Omni FoF - Direct Plan - Growth,130493
HDFC Large and Mid Cap Fund - Growth Option,130496
HDFC Large and Mid Cap Fund - IDCW Option,130497
HDFC Large and Mid Cap Fund - Growth Option - Direct Plan,130498
HDFC Large and Mid Cap Fund - IDCW Option - Direct Plan,130499
HDFC Small Cap Fund - IDCW Option,130501
HDFC Small Cap Fund - Growth Option,130502
HDFC Small Cap Fund - Growth Option - Direct Plan,130503
HDFC Small Cap Fund - IDCW Option - Direct Plan,130504
HDFC Income Plus Arbitrage Active FOF - Growth Option,130533
HDFC Income Plus Arbitrage Active FOF - IDCW Option,130540
HDFC Income Plus Arbitrage Active FOF - Growth Option - Direct Plan,130543
HDFC Income Plus Arbitrage Active FOF - IDCW Option - Direct Plan,130547
JM Arbitrage Fund (Regular) - Bonus Option - Principal Units,130603
JM Arbitrage Fund (Direct) - Bonus Option - Principal Units,130604
Invesco India Credit Risk Fund - Regular Plan - Growth,130721
Invesco India Credit Risk Fund - Direct Plan - Growth,130722
Invesco India Credit Risk Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment),130723
Invesco India Credit Risk Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),130724
Invesco India Credit Risk Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment),130725
Invesco India Credit Risk Fund - Regular Plan - Discretionary IDCW (Payout / Reinvestment),130726
Axis Arbitrage Fund - Regular Plan - Growth,130771
Axis Arbitrage Fund - Direct Plan - Growth,130773
Axis Arbitrage Fund - Direct Plan - Monthly IDCW,130774
Axis Arbitrage Fund - Regular Plan - Monthly IDCW,130776
Invesco India Arbitrage Fund - Direct Plan - Annual Bonus,130787
Nippon India Japan Equity Fund- Growth Plan- Bonus Option,130858
NIPPON INDIA - JAPAN EQUITY FUND - IDCW Option,130859
Nippon India Japan Equity Fund- Direct Plan- Growth Plan- Growth Option,130860
Nippon India Japan Equity Fund- Direct Plan- Growth Plan- Bonus Option,130861
Nippon India Japan Equity Fund- Growth Plan- Growth Option,130863
NIPPON INDIA - JAPAN EQUITY FUND - DIRECT Plan - IDCW Option,130864
ICICI Prudential Banking and PSU Debt Fund - Bonus,130897
ICICI Prudential Equity Arbitrage Fund - Bonus,130898
ICICI Prudential Floating Interest Fund - Bonus,130899
ICICI Prudential Savings Fund - Bonus,130900
ICICI Prudential Gilt Investment PF Option - Bonus,130901
ICICI Prudential Short Term Gilt Fund - Bonus,130902
ICICI Prudential Gilt Fund - Bonus,130903
JM Aggressive Hybrid Fund (Direct) - Annual Bonus Option,130904
ICICI Prudential Gilt Treasury PF Option - Bonus,130905
ICICI Prudential Bond Fund - Bonus,130932
ICICI Prudential Liquid Fund - Bonus,130933
ICICI Prudential Liquid Fund - Direct Plan Bonus,130934
ICICI Prudential Medium Term Bond Fund - Bonus,130935
ICICI Prudential Medium Term Bond Fund - Direct Plan Bonus,130936
ICICI Prudential All Seasons Bond Fund - Bonus,130937
ICICI Prudential All Seasons Bond Fund - Direct Plan Bonus,130938
ICICI Prudential MIP - Direct Plan Bonus,130940
ICICI Prudential Ultra Short Term Fund - Direct Plan Bonus,130942
ICICI Prudential Credit Risk Fund - Bonus,130943
ICICI Prudential Credit Risk Fund - Direct Plan Bonus,130944
ICICI Prudential Money Market Fund -Bonus,130945
ICICI Prudential Money Market Fund - Direct Plan Bonus,130946
ICICI Prudential Corporate Bond Fund - Bonus,130947
ICICI Prudential Blended Plan A - Direct Plan Bonus,130949
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus,130950
ICICI Prudential Equity Arbitrage Fund - Direct Plan Bonus,130951
ICICI Prudential Savings Fund - Direct Plan Bonus,130952
ICICI Prudential Gilt Investment PF Option - Direct Plan Bonus,130954
ICICI Prudential Gilt Fund - Direct Plan Bonus,130955
ICICI Prudential Short Term Gilt Fund - Direct Plan Bonus,130956
ICICI Prudential Interval Fund Annual Interval Plan - I - Direct Plan Bonus,130958
ICICI Prudential Constant Maturity Gilt Fund - Growth,131051
ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Monthly IDCW,131053
ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Quarterly IDCW,131054
ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Half Yearly IDCW,131055
ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Annual IDCW,131056
