Scheme Name,Scheme Code
Franklin India Large Cap Fund - IDCW,100470
Franklin India Large Cap Fund-Growth,100471
Franklin India Mid Cap Fund - IDCW,100472
Franklin India Mid Cap Fund-Growth,100473
Tata ELSS Fund- Regular Plan - Payout of IDCW Option,100474
Tata Large Cap Fund -Regular Plan - Growth Option,100475
Taurus Flexi Cap Fund - Regular Plan - Growth,100476
Taurus Mid Cap Fund - Regular Plan - Growth,100477
Taurus ELSS Tax Saver Fund - Regular Plan - Growth,100480
Franklin India Index Fund- NSE Nifty 50 Index Fund - Growth,100484
Franklin India Government Securities Fund - Growth,100493
Franklin India Government Securities Fund - IDCW,100494
Templeton India Value Fund - Growth Plan,100496
Templeton India Value Fund - IDCW,100497
Franklin India Dynamic Accrual Fund - IDCW,100498
Franklin India Dynamic Accrual Fund-Growth,100499
Franklin India Low Duration Fund - Monthly - IDCW,100503
Franklin India Low Duration Fund - Quarterly - IDCW,100504
Franklin India Flexi Cap Fund - IDCW,100519
Franklin India Flexi Cap Fund - Growth,100520
Franklin India Technology Fund - IDCW,100521
Franklin India Technology Fund-Growth,100522
Franklin INDIA OPPORTUNITIES FUND - IDCW,100524
Franklin India ELSS Tax Saver Fund - IDCW,100525
Franklin India ELSS Tax Saver Fund-Growth,100526
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW,100527
Franklin India Corporate Debt Fund - Growth,100528
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW,100529
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW,100530
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW,100531
Franklin India Corporate Debt Fund - Monthly Bonus,100532
Franklin India Retirement Fund - IDCW,100535
Franklin India Retirement Fund - Growth,100536
Franklin India Liquid Fund - Regular Plan - Weekly - IDCW,100537
Franklin India Liquid Fund - Regular Plan - Growth,100538
Franklin India Liquid Fund - Regular Plan - Daily - IDCW,100541
Franklin India Liquid Fund - Super Institutional Plan - Growth,100546
Franklin India Liquid Fund - Super Institutional Plan - Daily - IDCW,100547
Franklin India Liquid Fund - Super Institutional Plan - Weekly - IDCW,100548
Franklin India Aggressive Hybrid Fund - IDCW,100549
Franklin India Aggressive Hybrid Fund - Growth Plan,100550
CANARA ROBECO ELSS TAX SAVER - REGULAR PLAN -IDCW (Payout),100593
CANARA ROBECO GILT FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),100596
CANARA ROBECO GILT FUND - REGULAR PLAN - GROWTH OPTION,100597
CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment),100600
CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - GROWTH OPTION,100601
Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan-Income Distribution cum Capital Withdrawal(IDCW),100602
Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan - Growth,100603
Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan -Growth,100604
Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Institutional Plan - Growth,100608
Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan- Income Distribution cum Capital Withdrawal(IDCW),100609
Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan -Income Distribution cum Capital Withdrawal (IDCW),100610
Sundaram Value Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),100614
quant Multi Cap Fund-IDCW Option - Regular Plan,100630
quant Multi Cap Fund-GROWTH OPTION - Regular Plan,100631
SBI Medium to Long Duration Fund - Regular Plan - Half Yearly - Income Distribution cum Capital Withdrawal Option (IDCW),100638
SBI Medium to Long Duration Fund-REGULAR PLAN-Growth,100639
SBI Medium to Long Duration Fund-REGULAR PLAN-Bonus,100640
SBI ULTRA SHORT DURATION FUND - REGULAR PLAN - GROWTH,100641
SBI Technology Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),100643
SBI Healthcare Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),100644
SBI Consumption Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),100645
UTI - Unit Linked Insurance Plan,100646
UTI Large Cap Fund - Regular Plan - IDCW,100650
UTI Large Cap Fund - Regular Plan - Growth Option,100651
UTI Large & Mid Cap Fund - Regular Plan - IDCW,100663
UTI Large & Mid Cap Fund - Regular Plan - Growth Option,100664
UTI Flexi Cap Fund - Regular Plan - IDCW,100668
UTI - Flexi Cap Fund-Growth Option,100669
UTI Children's Hybrid Fund - Regular Plan,100678
UTI Retirement Fund - Regular Plan,100682
UTI Aggressive Hybrid Fund - Regular Plan - Growth,100684
UTI Aggressive Hybrid Fund - Regular Plan - IDCW,100685
UTI MMF-Discontinued - Regular Plan -Growth,100723
UTI MMF- Discontinued - Regular Plan - Flexi Dividend Option,100724
UTI MMF- Discontinued - Regular Plan - Periodic Dividend Option,100725
UTI MNC Fund - Regular Plan - IDCW,100739
UTI - MNC Fund - Regular Plan - Growth Option,100740
UTI Medium to Long Duration Fund- Regular Plan - Growth,100741
UTI Medium to Long Duration Fund - Regular Plan - Quarterly IDCW,100742
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),100780
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth,100781
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),100782
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),100783
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth,100784
Sundaram Corporate Bond Fund Regular Plan -Income Distribution cum Capital Withdrawal(IDCW),100785
Sundaram Corporate Bond Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW ),100786
Sundaram Corporate Bond Fund Regular Plan-Income Distribution cum Capital Withdrawal (IDCW),100787
Sundaram Corporate Bond Fund Regular Plan- Income Distribution cum Capital Withdrawal (IDCW),100788
Sundaram Corporate Bond Fund Regular Plan- Growth,100789
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),100793
Sundaram Small Cap Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),100794
Sundaram Small Cap Fund Regular Plan - Growth,100795
UTI Healthcare Fund - Regular Plan - IDCW,100806
UTI Healthcare Fund - Regular Plan - Growth Option,100807
UTI Overnight Fund - Regular Plan - Periodic IDCW,100813
UTI - Overnight  Fund - Regular Plan - Growth Option,100814
UTI ELSS Tax Saver Fund - Regular Plan - IDCW,100820
UTI ELSS Tax Saver Fund - Regular Plan - Growth Option,100821
UTI Nifty 50 Index Fund - Regular Plan - Growth Option,100822
UTI Nifty 50 Index Fund - Regular Plan - IDCW,100823
Kotak Liquid Fund - Regular  - Daily Reinvestment of Income Distribution cum capital withdrawal option,100833
Kotak Liquid Fund - Regular Plan - Growth,100835
Nippon India Liquid Fund - Retail Option - Growth Plan,100837
NIPPON INDIA LIQUID FUND - RETAIL Plan - WEEKLY IDCW OPTION,100838
NIPPON INDIA LIQUID FUND - RETAIL Plan - DAILY IDCW OPTION,100842
NIPPON INDIA LIQUID FUND - RETAIL plan - MONTHLY IDCW OPTION,100843
NIPPON INDIA LIQUID FUND - RETAIL Plan - QUARTERLY IDCW OPTION,100844
Reliance Liquid Fund-Cash Plan-Growth Plan,100845
Reliance Liquid Fund-Cash Plan-Weekly Dividend Reinvestment Option,100848
Reliance Liquid Fund-Cash Plan-Daily Dividend Reinvestment Option,100849
Nippon India Liquid Fund -Growth Plan,100851
NIPPON INDIA LIQUID FUND - DAILY IDCW OPTION,100852
NIPPON INDIA LIQUID FUND - WEEKLY IDCW OPTION,100853
NIPPON INDIA LIQUID FUND - MONTHLY IDCW OPTION,100855
Nippon India Corporate Bond Fund - Growth Plan - Growth Option,100856
NIPPON INDIA CORPORATE BOND FUND - MONTHLY IDCW Option,100857
NIPPON INDIA CORPORATE BOND FUND - QUARTERLY IDCW Option,100858
Nippon India Corporate Bond Fund - Growth Plan - Bonus Option,100859
LIC MF ELSS Tax Saver-Regular Plan-IDCW,100864
LIC MF ELSS Tax Saver-Regular Plan-Growth,100865
HDFC Liquid Fund - Growth Plan,100868
HDFC Liquid Fund-PREMIUM PLUS- Growth,100872
HDFC Liquid Fund - IDCW Plan Weekly,100874
HDFC Liquid Fund - IDCW Daily,100875
HDFC Liquid Fund - IDCW Monthly,100876
HDFC Liquid Fund-Premium Plan - Dividend-Weekly,100878
HDFC Liquid Fund-Premium Plus Plan - Dividend-Weekly,100881
HDFC Childrens Fund-Savings,100899
HDFC Childrens Fund - Growth Plan,100900
SBI Contra Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),100915
SBI Conservative Hybrid Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),100927
SBI Conservative Hybrid Fund - Regular Plan - Quarterly Income Distribution cum Capital Withdrawal Option (IDCW),100928
SBI Conservative Hybrid Fund - Regular Plan - Annual Income Distribution cum Capital Withdrawal Option (IDCW),100929
Franklin India Conservative Hybrid Fund - Growth,100948
Franklin India Conservative Hybrid Fund - Plan A - Monthly - IDCW,100949
Franklin India Conservative Hybrid Fund - Plan A - Quarterly - IDCW,100950
ICICI Prudential MIP - Growth,100952
ICICI Prudential MIP - Dividend Monthly,100953
ICICI Prudential MIP - Dividend Quarterly,100954
ICICI Prudential MIP - Dividend Half Yearly,100955
SBI Conservative Hybrid Fund - Regular Plan - Growth,100968
HDFC Long Term Advantage Plan - IDCW Plan,100997
HDFC Long Term Advantage Plan - Growth Plan,100998
SBI Gilt Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),100999
SBI GILT FUND - REGULAR PLAN - GROWTH,101001
SBI CONSTANT MATURITY 10 Year GILT FUND - REGULAR PLAN - GROWTH,101002
SBI Constant Maturity 10 Year Gilt Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),101003
Tata Gilt Securities Fund -Regular Plan- Growth Option,101042
Franklin India Floating Rate Fund - IDCW,101044
Franklin India Floating Rate Fund - Growth Plan,101048
Tata Gilt Securities Fund - Regular Plan - Payout of IDCW Option,101049
quant Mid Cap Fund - Growth Option - Regular Plan,101065
quant Mid Cap Fund - IDCW Option - Regular Plan,101066
quant Aggressive Hybrid Fund-IDCW Option - Regular Plan,101069
quant Aggressive Hybrid Fund - Growth Option - Regular Plan,101070
quant Multi Asset Allocation Fund - IDCW Option - Regular Plan,101071
